State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
India,2001,3287263.0,675538.0,416809.0,,258729.0,37318.0,4482.0
Andhra Pradesh,2001,275069.0,44637.0,25827.0,,18810.0,9907.0,333.0
Arunachal Pradesh,2001,83743.0,68045.0,53932.0,,14113.0,141.0,0.0
Assam,2001,78438.0,27714.0,15830.0,,11884.0,224.0,0.0
Bihar,2001,94163.0,5720.0,3372.0,,2348.0,122.0,0.0
Chattisgarh,2001,135191.0,56448.0,37880.0,,18568.0,200.0,0.0
Delhi,2001,1483.0,111.0,38.0,,73.0,4.0,0.0
Goa,2001,3702.0,2095.0,1785.0,,310.0,0.0,5.0
Gujarat,2001,196022.0,15152.0,8673.0,,6479.0,2408.0,911.0
Haryana,2001,44212.0,1754.0,1139.0,,615.0,88.0,0.0
Himachal Pradesh,2001,55673.0,14360.0,10429.0,,3931.0,566.0,0.0
Jammu & Kashmir,2001,222236.0,21237.0,11848.0,,9389.0,3087.0,0.0
Jharkhand,2001,79714.0,22637.0,11787.0,,10850.0,976.0,0.0
Karnataka,2001,191791.0,36991.0,26156.0,,10835.0,3245.0,2.0
Kerala,2001,38863.0,15560.0,11772.0,,3788.0,71.0,0.0
Madhya Pradesh,2001,308245.0,77265.0,44348.0,,32881.0,3452.0,0.0
Maharashtra,2001,307713.0,47482.0,30894.0,,16588.0,6137.0,118.0
Manipur,2001,22327.0,16926.0,5710.0,,11216.0,190.0,0.0
Meghalaya,2001,22429.0,15584.0,5681.0,,9903.0,259.0,0.0
Mizoram,2001,21081.0,17494.0,8936.0,,8558.0,467.0,0.0
Nagaland,2001,16579.0,13345.0,5393.0,,7952.0,47.0,0.0
Odisha,2001,155707.0,48838.0,27972.0,,20866.0,5782.0,219.0
Punjab,2001,50362.0,2432.0,1549.0,,883.0,30.0,0.0
Rajasthan,2001,342239.0,16367.0,6322.0,,10045.0,4925.0,0.0
Sikkim,2001,7096.0,3193.0,2391.0,,802.0,341.0,0.0
Tamil Nadu,2001,130058.0,21482.0,12499.0,,8983.0,3180.0,23.0
Tripura,2001,10486.0,7065.0,3463.0,,3602.0,44.0,0.0
Uttar Pradesh,2001,240928.0,13746.0,8965.0,,4781.0,678.0,0.0
Uttarakhand,2001,53483.0,23938.0,19023.0,,4915.0,598.0,0.0
West Bengal,2001,88752.0,10693.0,6346.0,,4347.0,149.0,2081.0
Andaman and Nicobar Islands,2001,8249.0,6930.0,6593.0,,337.0,0.0,789.0
Chandigarh,2001,114.0,9.0,5.0,,4.0,0.0,0.0
Dadra & Nagar Haveli,2001,491.0,219.0,151.0,,68.0,0.0,0.0
Daman & Diu,2001,112.0,6.0,2.0,,4.0,0.0,0.0
Lakshadweep,2001,32.0,27.0,27.0,,0.0,0.0,0.0
Puducherry,2001,480.0,36.0,35.0,,1.0,0.0,1.0
India,1999,3287263.0,632422.0,377358.0,,255064.0,51896.0,4871.0
Andhra Pradesh,1999,275069.0,43832.0,24190.0,,19642.0,9559.0,397.0
Arunachal Pradesh,1999,83743.0,68847.0,57756.0,,11091.0,104.0,0.0
Assam,1999,78438.0,23688.0,14517.0,,9171.0,324.0,0.0
Bihar,1999,94163.0,26474.0,13274.0,,13200.0,1914.0,0.0
Chattisgarh,1999,135191.0,0.0,,,,,0.0
Delhi,1999,1483.0,88.0,35.0,,53.0,3.0,0.0
Goa,1999,3702.0,1246.0,995.0,,251.0,16.0,5.0
Gujarat,1999,196022.0,11934.0,6430.0,,5504.0,2948.0,1031.0
Haryana,1999,44212.0,964.0,449.0,,515.0,191.0,0.0
Himachal Pradesh,1999,55673.0,13082.0,9120.0,,3962.0,566.0,0.0
Jammu & Kashmir,1999,222236.0,20441.0,11019.0,,9422.0,3089.0,0.0
Jharkhand,1999,79714.0,0.0,,,,,0.0
Karnataka,1999,191791.0,32464.0,24832.0,,7632.0,4489.0,3.0
Kerala,1999,38863.0,10323.0,8429.0,,1894.0,91.0,0.0
Madhya Pradesh,1999,308245.0,131830.0,81619.0,,50211.0,3853.0,0.0
Maharashtra,1999,307713.0,46564.0,26613.0,,19951.0,7160.0,108.0
Manipur,1999,22327.0,17384.0,5936.0,,11448.0,177.0,0.0
Meghalaya,1999,22429.0,15633.0,5925.0,,9708.0,261.0,0.0
Mizoram,1999,21081.0,18338.0,3786.0,,14552.0,125.0,0.0
Nagaland,1999,16579.0,14164.0,5137.0,,9027.0,14.0,0.0
Odisha,1999,155707.0,46818.0,26073.0,,20745.0,5439.0,215.0
Punjab,1999,50362.0,1412.0,517.0,,895.0,107.0,0.0
Rajasthan,1999,342239.0,13871.0,4309.0,,9562.0,6921.0,0.0
Sikkim,1999,7096.0,3118.0,2363.0,,755.0,386.0,0.0
Tamil Nadu,1999,130058.0,17057.0,8659.0,,8398.0,2836.0,21.0
Tripura,1999,10486.0,5745.0,2228.0,,3517.0,38.0,0.0
Uttar Pradesh,1999,240928.0,34016.0,22902.0,,11114.0,1177.0,0.0
Uttarakhand,1999,53483.0,0.0,,,,,0.0
West Bengal,1999,88752.0,6237.0,3565.0,,2672.0,98.0,2125.0
Andaman and Nicobar Islands,1999,8249.0,6640.0,6515.0,,125.0,,966.0
Chandigarh,1999,114.0,7.0,6.0,,1.0,,0.0
Dadra & Nagar Haveli,1999,491.0,202.0,159.0,,43.0,10.0,0.0
Daman & Diu,1999,112.0,3.0,0.0,,3.0,,0.0
Lakshadweep,1999,32.0,0.0,0.0,,0.0,,0.0
Puducherry,1999,480.0,0.0,0.0,,0.0,,0.0
India,1997,3287263.0,628570.0,367260.0,,261310.0,57211.0,4827.0
Andhra Pradesh,1997,275069.0,42907.0,23048.0,,19859.0,11191.0,383.0
Arunachal Pradesh,1997,83743.0,68602.0,54155.0,,14447.0,415.0,0.0
Assam,1997,78438.0,23824.0,15548.0,,8276.0,635.0,0.0
Bihar,1997,94163.0,26524.0,13300.0,,13224.0,1916.0,0.0
Chattisgarh,1997,135191.0,0.0,,,,,0.0
Delhi,1997,1483.0,26.0,16.0,,10.0,2.0,0.0
Goa,1997,3702.0,1247.0,995.0,,252.0,16.0,5.0
Gujarat,1997,196022.0,11587.0,6337.0,,5250.0,2780.0,991.0
Haryana,1997,44212.0,604.0,370.0,,234.0,157.0,0.0
Himachal Pradesh,1997,55673.0,12521.0,9560.0,,2961.0,1825.0,0.0
Jammu & Kashmir,1997,222236.0,20440.0,11020.0,,9420.0,3088.0,0.0
Jharkhand,1997,79714.0,0.0,,,,,0.0
Karnataka,1997,191791.0,32400.0,24854.0,,7546.0,4566.0,3.0
Kerala,1997,38863.0,10334.0,8454.0,,1880.0,83.0,0.0
Madhya Pradesh,1997,308245.0,131195.0,82745.0,,48450.0,3320.0,0.0
Maharashtra,1997,307713.0,46019.0,23622.0,,22397.0,7380.0,124.0
Manipur,1997,22327.0,17418.0,4937.0,,12481.0,911.0,0.0
Meghalaya,1997,22429.0,15657.0,4044.0,,11613.0,849.0,0.0
Mizoram,1997,21081.0,18775.0,4348.0,,14427.0,937.0,0.0
Nagaland,1997,16579.0,14221.0,3487.0,,10734.0,70.0,0.0
Odisha,1997,155707.0,46730.0,26101.0,,20629.0,5461.0,211.0
Punjab,1997,50362.0,1387.0,511.0,,876.0,116.0,0.0
Rajasthan,1997,342239.0,13353.0,3690.0,,9663.0,6781.0,0.0
Sikkim,1997,7096.0,3129.0,2423.0,,706.0,439.0,0.0
Tamil Nadu,1997,130058.0,17043.0,8676.0,,8367.0,2832.0,21.0
Tripura,1997,10486.0,5546.0,1819.0,,3727.0,150.0,0.0
Uttar Pradesh,1997,240928.0,33994.0,22958.0,,11036.0,1170.0,0.0
Uttarakhand,1997,53483.0,0.0,,,,,0.0
West Bengal,1997,88752.0,6226.0,3557.0,,2669.0,109.0,2123.0
Andaman and Nicobar Islands,1997,8249.0,6647.0,6520.0,,127.0,,966.0
Chandigarh,1997,114.0,7.0,6.0,,1.0,,0.0
Dadra & Nagar Haveli,1997,491.0,204.0,159.0,,45.0,12.0,0.0
Daman & Diu,1997,112.0,3.0,,,3.0,,0.0
Lakshadweep,1997,32.0,0.0,,,,,0.0
Puducherry,1997,480.0,0.0,,,,,0.0
India,1995,3287263.0,635057.0,385756.0,,249301.0,,4533.0
Andhra Pradesh,1995,275069.0,46729.0,24827.0,,21902.0,,383.0
Arunachal Pradesh,1995,83743.0,68621.0,54176.0,,14445.0,,0.0
Assam,1995,78438.0,24061.0,15694.0,,8367.0,,0.0
Bihar,1995,94163.0,26561.0,13343.0,,13218.0,,0.0
Chattisgarh,1995,135191.0,0.0,,,,,0.0
Delhi,1995,1483.0,16.0,16.0,,0.0,,0.0
Goa,1995,3702.0,1247.0,995.0,,252.0,,3.0
Gujarat,1995,196022.0,11631.0,6369.0,,5262.0,,689.0
Haryana,1995,44212.0,603.0,370.0,,233.0,,0.0
Himachal Pradesh,1995,55673.0,12501.0,9565.0,,2936.0,,0.0
Jammu & Kashmir,1995,222236.0,20433.0,11020.0,,9413.0,,0.0
Jharkhand,1995,79714.0,0.0,,,,,0.0
Karnataka,1995,191791.0,32380.0,24859.0,,7521.0,,2.0
Kerala,1995,38863.0,10336.0,8455.0,,1881.0,,0.0
Madhya Pradesh,1995,308245.0,135164.0,95153.0,,40011.0,,0.0
Maharashtra,1995,307713.0,43688.0,25673.0,,18015.0,,155.0
Manipur,1995,22327.0,17558.0,5318.0,,12240.0,,0.0
Meghalaya,1995,22429.0,15714.0,4045.0,,11669.0,,0.0
Mizoram,1995,21081.0,18576.0,4281.0,,14295.0,,0.0
Nagaland,1995,16579.0,14291.0,3487.0,,10804.0,,0.0
Odisha,1995,155707.0,46912.0,27163.0,,19749.0,,195.0
Punjab,1995,50362.0,1342.0,481.0,,861.0,,0.0
Rajasthan,1995,342239.0,13280.0,3684.0,,9596.0,,0.0
Sikkim,1995,7096.0,3127.0,2424.0,,703.0,,0.0
Tamil Nadu,1995,130058.0,17745.0,9418.0,,8327.0,,21.0
Tripura,1995,10486.0,5538.0,1819.0,,3719.0,,0.0
Uttar Pradesh,1995,240928.0,33986.0,22969.0,,11017.0,,0.0
Uttarakhand,1995,53483.0,0.0,,,,,0.0
West Bengal,1995,88752.0,6157.0,3463.0,,2694.0,,2119.0
Andaman and Nicobar Islands,1995,8249.0,6649.0,6524.0,,125.0,,966.0
Chandigarh,1995,114.0,7.0,6.0,,1.0,,0.0
Dadra & Nagar Haveli,1995,491.0,204.0,159.0,,45.0,,0.0
Daman & Diu,1995,112.0,0.0,,,,,0.0
Lakshadweep,1995,32.0,0.0,,,,,0.0
Puducherry,1995,480.0,0.0,,,,,0.0
India,1993,3287263.0,635851.0,385576.0,,250275.0,58943.0,4256.0
Andhra Pradesh,1993,275069.0,46878.0,25008.0,,21870.0,12170.0,378.0
Arunachal Pradesh,1993,83743.0,68661.0,54510.0,,14151.0,223.0,0.0
Assam,1993,78438.0,24508.0,15998.0,,8510.0,602.0,0.0
Bihar,1993,94163.0,26587.0,13172.0,,13415.0,1925.0,0.0
Chattisgarh,1993,135191.0,0.0,,,,,0.0
Delhi,1993,1483.0,22.0,12.0,,10.0,3.0,0.0
Goa,1993,3702.0,1244.0,995.0,,249.0,16.0,3.0
Gujarat,1993,196022.0,11625.0,6301.0,,5324.0,2427.0,419.0
Haryana,1993,44212.0,513.0,329.0,,184.0,122.0,0.0
Himachal Pradesh,1993,55673.0,12502.0,9565.0,,2937.0,1845.0,0.0
Jammu & Kashmir,1993,222236.0,20443.0,10953.0,,9490.0,3108.0,0.0
Jharkhand,1993,79714.0,0.0,,,,,0.0
Karnataka,1993,191791.0,32343.0,24852.0,,7491.0,4637.0,0.0
Kerala,1993,38863.0,10336.0,8421.0,,1915.0,93.0,0.0
Madhya Pradesh,1993,308245.0,135396.0,95537.0,,39859.0,3049.0,0.0
Maharashtra,1993,307713.0,43704.0,25680.0,,18024.0,7281.0,155.0
Manipur,1993,22327.0,17621.0,5307.0,,12314.0,1461.0,0.0
Meghalaya,1993,22429.0,15769.0,3305.0,,12464.0,985.0,0.0
Mizoram,1993,21081.0,18697.0,4238.0,,14459.0,1156.0,0.0
Nagaland,1993,16579.0,14348.0,3487.0,,10861.0,120.0,0.0
Odisha,1993,155707.0,46950.0,27151.0,,19799.0,6355.0,195.0
Punjab,1993,50362.0,1343.0,481.0,,862.0,114.0,0.0
Rajasthan,1993,342239.0,13099.0,3581.0,,9518.0,6752.0,0.0
Sikkim,1993,7096.0,3119.0,2395.0,,724.0,437.0,0.0
Tamil Nadu,1993,130058.0,17705.0,9422.0,,8283.0,2818.0,21.0
Tripura,1993,10486.0,5538.0,1819.0,,3719.0,138.0,0.0
Uttar Pradesh,1993,240928.0,33961.0,22965.0,,10996.0,1043.0,0.0
Uttarakhand,1993,53483.0,0.0,,,,,0.0
West Bengal,1993,88752.0,6067.0,3362.0,,2705.0,48.0,2119.0
Andaman and Nicobar Islands,1993,8249.0,6658.0,6567.0,,91.0,4.0,966.0
Chandigarh,1993,114.0,5.0,4.0,,1.0,,0.0
Dadra & Nagar Haveli,1993,491.0,206.0,159.0,,47.0,11.0,0.0
Daman & Diu,1993,112.0,3.0,,,3.0,,0.0
Lakshadweep,1993,32.0,0.0,,,,,0.0
Puducherry,1993,480.0,0.0,,,,,0.0
India,1991,3287263.0,638319.0,388389.0,,249930.0,64286.0,4244.0
Andhra Pradesh,1991,275069.0,46891.0,25017.0,,21874.0,12188.0,399.0
Arunachal Pradesh,1991,83743.0,68757.0,54542.0,,14215.0,216.0,0.0
Assam,1991,78438.0,24751.0,15842.0,,8909.0,688.0,0.0
Bihar,1991,94163.0,26668.0,13285.0,,13383.0,1881.0,0.0
Chattisgarh,1991,135191.0,0.0,,,,,0.0
Delhi,1991,1483.0,22.0,,,22.0,,0.0
Goa,1991,3702.0,1250.0,996.0,,254.0,16.0,3.0
Gujarat,1991,196022.0,11510.0,6224.0,,5286.0,2327.0,397.0
Haryana,1991,44212.0,513.0,329.0,,184.0,123.0,0.0
Himachal Pradesh,1991,55673.0,11780.0,8911.0,,2869.0,1918.0,0.0
Jammu & Kashmir,1991,222236.0,20064.0,10986.0,,9078.0,2540.0,0.0
Jharkhand,1991,79714.0,0.0,,,,4645.0,0.0
Karnataka,1991,191791.0,32199.0,24856.0,,7343.0,4645.0,0.0
Kerala,1991,38863.0,10292.0,8421.0,,1871.0,109.0,0.0
Madhya Pradesh,1991,308245.0,135785.0,95385.0,,40400.0,4825.0,0.0
Maharashtra,1991,307713.0,43931.0,26172.0,,17759.0,7096.0,113.0
Manipur,1991,22327.0,17685.0,5309.0,,12376.0,1450.0,0.0
Meghalaya,1991,22429.0,15875.0,3305.0,,12570.0,923.0,0.0
Mizoram,1991,21081.0,18853.0,4279.0,,14574.0,866.0,0.0
Nagaland,1991,16579.0,14321.0,3531.0,,10790.0,78.0,0.0
Odisha,1991,155707.0,47010.0,27349.0,,19661.0,6295.0,195.0
Punjab,1991,50362.0,1343.0,481.0,,862.0,93.0,0.0
Rajasthan,1991,342239.0,12835.0,3027.0,,9808.0,6872.0,0.0
Sikkim,1991,7096.0,3033.0,2403.0,,630.0,463.0,0.0
Tamil Nadu,1991,130058.0,17666.0,9757.0,,7909.0,2792.0,47.0
Tripura,1991,10486.0,5535.0,1825.0,,3710.0,109.0,0.0
Uttar Pradesh,1991,240928.0,33609.0,22649.0,,10960.0,1001.0,0.0
Uttarakhand,1991,53483.0,3381.0,3381.0,,,,0.0
West Bengal,1991,88752.0,5896.0,3381.0,,2515.0,112.0,2119.0
Andaman and Nicobar Islands,1991,8249.0,6651.0,6583.0,,68.0,4.0,971.0
Chandigarh,1991,114.0,5.0,4.0,,1.0,,0.0
Dadra & Nagar Haveli,1991,491.0,206.0,159.0,,47.0,11.0,0.0
Daman & Diu,1991,112.0,2.0,,,2.0,,0.0
Lakshadweep,1991,32.0,0.0,,,,,0.0
Puducherry,1991,480.0,0.0,,,,,0.0
India,1989,3287263.0,634929.0,377520.0,,257409.0,,4255.0
Andhra Pradesh,1989,275069.0,47506.0,25535.0,,21971.0,,405.0
Arunachal Pradesh,1989,83743.0,68763.0,54272.0,,14491.0,,0.0
Assam,1989,78438.0,25058.0,15688.0,,9370.0,,0.0
Bihar,1989,94163.0,26934.0,13412.0,,13522.0,,0.0
Chattisgarh,1989,135191.0,0.0,,,,,0.0
Delhi,1989,1483.0,22.0,12.0,,10.0,,0.0
Goa,1989,3702.0,1297.0,975.0,,322.0,,3.0
Gujarat,1989,196022.0,11258.0,5259.0,,5999.0,,412.0
Haryana,1989,44212.0,613.0,180.0,,433.0,,0.0
Himachal Pradesh,1989,55673.0,13377.0,7100.0,,6277.0,,0.0
Jammu & Kashmir,1989,222236.0,20424.0,10824.0,,9600.0,,0.0
Jharkhand,1989,79714.0,0.0,,,,,0.0
Karnataka,1989,191791.0,32100.0,24749.0,,7351.0,,0.0
Kerala,1989,38863.0,10149.0,8312.0,,1837.0,,0.0
Madhya Pradesh,1989,308245.0,133191.0,91448.0,,41743.0,,0.0
Maharashtra,1989,307713.0,43944.0,26177.0,,17767.0,,114.0
Manipur,1989,22327.0,17885.0,5060.0,,12825.0,,0.0
Meghalaya,1989,22429.0,15690.0,3427.0,,12263.0,,0.0
Mizoram,1989,21081.0,18178.0,3883.0,,14295.0,,0.0
Nagaland,1989,16579.0,14356.0,4632.0,,9724.0,,0.0
Odisha,1989,155707.0,46945.0,27561.0,,19384.0,,192.0
Punjab,1989,50362.0,1161.0,97.0,,1064.0,,0.0
Rajasthan,1989,342239.0,12966.0,2902.0,,10064.0,,0.0
Sikkim,1989,7096.0,3124.0,2410.0,,714.0,,0.0
Tamil Nadu,1989,130058.0,17668.0,9759.0,,7909.0,,47.0
Tripura,1989,10486.0,5325.0,1214.0,,4111.0,,0.0
Uttar Pradesh,1989,240928.0,33844.0,22632.0,,11212.0,,0.0
Uttarakhand,1989,53483.0,0.0,,,,,0.0
West Bengal,1989,88752.0,6285.0,3332.0,,2953.0,,2109.0
Andaman and Nicobar Islands,1989,8249.0,6651.0,6518.0,,133.0,,973.0
Chandigarh,1989,114.0,0.0,,,,,0.0
Dadra & Nagar Haveli,1989,491.0,157.0,149.0,,8.0,,0.0
Daman & Diu,1989,112.0,57.0,1.0,,56.0,,0.0
Lakshadweep,1989,32.0,1.0,,,1.0,,0.0
Puducherry,1989,480.0,0.0,,,,,0.0
India,1987,3287263.0,653965.0,361512.0,,292453.0,,4046.0
Andhra Pradesh,1987,275069.0,49699.0,28580.0,,21119.0,,495.0
Arunachal Pradesh,1987,83743.0,60500.0,51096.0,,9404.0,,0.0
Assam,1987,78438.0,26386.0,18415.0,,7971.0,,0.0
Bihar,1987,94163.0,28748.0,13490.0,,15258.0,,0.0
Chattisgarh,1987,135191.0,0.0,,,,,0.0
Delhi,1987,1483.0,15.0,,,15.0,,0.0
Goa,1987,3702.0,1285.0,763.0,,522.0,,0.0
Gujarat,1987,196022.0,13143.0,7850.0,,5293.0,,427.0
Haryana,1987,44212.0,644.0,43.0,,601.0,,0.0
Himachal Pradesh,1987,55673.0,12882.0,9908.0,,2974.0,,0.0
Jammu & Kashmir,1987,222236.0,20880.0,12978.0,,7902.0,,0.0
Jharkhand,1987,79714.0,15870.0,,,15870.0,,0.0
Karnataka,1987,191791.0,32264.0,16394.0,,15870.0,,0.0
Kerala,1987,38863.0,10402.0,8569.0,,1833.0,,0.0
Madhya Pradesh,1987,308245.0,127749.0,72174.0,,55575.0,,0.0
Maharashtra,1987,307713.0,47276.0,27244.0,,20032.0,,140.0
Manipur,1987,22327.0,17679.0,4670.0,,13009.0,,0.0
Meghalaya,1987,22429.0,16511.0,5749.0,,10762.0,,0.0
Mizoram,1987,21081.0,19092.0,2938.0,,16154.0,,0.0
Nagaland,1987,16579.0,14451.0,6479.0,,7972.0,,0.0
Odisha,1987,155707.0,52964.0,28573.0,,24391.0,,199.0
Punjab,1987,50362.0,766.0,96.0,,670.0,,0.0
Rajasthan,1987,342239.0,12478.0,3048.0,,9430.0,,0.0
Sikkim,1987,7096.0,2839.0,1867.0,,972.0,,0.0
Tamil Nadu,1987,130058.0,18357.0,10866.0,,7491.0,,23.0
Tripura,1987,10486.0,5743.0,340.0,,5403.0,,0.0
Uttar Pradesh,1987,240928.0,31443.0,18876.0,,12567.0,,0.0
Uttarakhand,1987,53483.0,0.0,,,,,0.0
West Bengal,1987,88752.0,6735.0,3512.0,,3223.0,,2076.0
Andaman and Nicobar Islands,1987,8249.0,6917.0,6807.0,,110.0,,686.0
Chandigarh,1987,114.0,2.0,,,2.0,,0.0
Dadra & Nagar Haveli,1987,491.0,237.0,187.0,,50.0,,0.0
Daman & Diu,1987,112.0,0.0,,,,,0.0
Lakshadweep,1987,32.0,0.0,,,,,0.0
Puducherry,1987,480.0,8.0,,,8.0,,0.0
