State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
Kerala,2017,38852.0,20321.0,1663.0,9407.0,9251.0,23.0,9.0
Madhya Pradesh,2017,308252.0,77414.0,6563.0,34571.0,36280.0,6279.0,0.0
Maharashtra,2017,307713.0,53682.0,8736.0,20652.0,24294.0,4160.0,304.0
Manipur,2017,22327.0,17346.0,908.0,6510.0,9928.0,1111.0,0.0
Meghalaya,2017,22429.0,17146.0,453.0,9386.0,7307.0,505.0,0.0
Mizoram,2017,21081.0,18186.0,131.0,5861.0,12194.0,0.0,0.0
Nagaland,2017,16579.0,12489.0,1279.0,4587.0,6623.0,503.0,0.0
Odisha,2017,155707.0,51345.0,6967.0,21370.0,23008.0,4306.0,243.0
Punjab,2017,50362.0,1837.0,8.0,806.0,1023.0,33.0,0.0
Rajasthan,2017,342239.0,16572.0,78.0,4340.0,12154.0,4579.0,0.0
Sikkim,2017,7096.0,3344.0,1081.0,1575.0,688.0,307.0,0.0
Tamil Nadu,2017,130060.0,26281.0,3672.0,10979.0,11630.0,657.0,49.0
Telangana,2017,112077.0,20419.0,1596.0,8738.0,10085.0,3238.0,0.0
Tripura,2017,10486.0,7726.0,656.0,5246.0,1824.0,15.0,0.0
Uttar Pradesh,2017,240928.0,14679.0,2617.0,4069.0,7993.0,551.0,0.0
Uttarakhand,2017,53483.0,24295.0,4969.0,12884.0,6442.0,383.0,0.0
West Bengal,2017,88752.0,16847.0,2994.0,4147.0,9706.0,136.0,2114.0
Andaman and Nicobar Islands,2017,8249.0,6742.0,5678.0,684.0,380.0,1.0,617.0
Chandigarh,2017,114.0,21.56,1.36,13.82,6.38,0.02,0.0
Dadra & Nagar Haveli,2017,491.0,207.0,0.0,80.0,127.0,5.0,0.0
Daman & Diu,2017,111.0,20.49,1.4,5.82,13.27,0.27,3.0
Lakshadweep,2017,30.0,27.1,0.0,17.04,10.06,0.0,0.0
Puducherry,2017,490.0,53.67,0.0,17.6,36.07,0.0,2.0
India,2015,3287263.0,701673.0,85904.0,315374.0,300395.0,41362.0,4740.0
Andhra Pradesh,2015,160204.0,24427.0,375.0,13096.0,10956.0,8562.0,367.0
Arunachal Pradesh,2015,83743.0,67248.0,20804.0,31301.0,15143.0,264.0,0.0
Assam,2015,78438.0,27623.0,1441.0,11268.0,14914.0,384.0,0.0
Bihar,2015,94163.0,7288.0,248.0,3376.0,3664.0,120.0,0.0
Chattisgarh,2015,135191.0,55586.0,4152.0,34846.0,16588.0,117.0,0.0
Delhi,2015,1483.0,188.77,6.94,57.15,124.68,2.0,0.0
Goa,2015,3702.0,2024.0,542.0,380.0,1102.0,0.0,26.0
Gujarat,2015,196022.0,14660.0,376.0,5220.0,9064.0,1490.0,1107.0
Haryana,2015,44212.0,1584.0,27.0,452.0,1105.0,151.0,0.0
Himachal Pradesh,2015,55673.0,14696.0,3224.0,6381.0,5091.0,301.0,0.0
Jammu & Kashmir,2015,222236.0,22988.0,4061.0,8815.0,10112.0,625.0,0.0
Jharkhand,2015,79714.0,23478.0,2588.0,9663.0,11227.0,685.0,0.0
Karnataka,2015,191791.0,36421.0,1781.0,20063.0,14577.0,3191.0,3.0
Kerala,2015,38863.0,19239.0,1523.0,9301.0,8415.0,36.0,9.0
Madhya Pradesh,2015,308245.0,77462.0,6629.0,34902.0,35931.0,6383.0,0.0
Maharashtra,2015,307713.0,50628.0,8712.0,20747.0,21169.0,4157.0,222.0
Manipur,2015,22327.0,16994.0,727.0,5925.0,10342.0,1182.0,0.0
Meghalaya,2015,22429.0,17217.0,449.0,9584.0,7184.0,348.0,0.0
Mizoram,2015,21081.0,18748.0,138.0,5858.0,12752.0,0.0,0.0
Nagaland,2015,16579.0,12966.0,1296.0,4695.0,6975.0,622.0,0.0
Odisha,2015,155707.0,50354.0,7023.0,21470.0,21861.0,4499.0,231.0
Punjab,2015,50362.0,1771.0,0.0,735.0,1036.0,37.0,0.0
Rajasthan,2015,342239.0,16171.0,76.0,4426.0,11669.0,4302.0,0.0
Sikkim,2015,7096.0,3357.0,500.0,2160.0,697.0,311.0,0.0
Tamil Nadu,2015,130058.0,26345.0,2993.0,10469.0,12883.0,414.0,47.0
Telangana,2015,114865.0,21591.0,513.0,12712.0,8366.0,1874.0,0.0
Tripura,2015,10486.0,7811.0,113.0,4609.0,3089.0,55.0,0.0
Uttar Pradesh,2015,240928.0,14461.0,2195.0,4060.0,8206.0,803.0,0.0
Uttarakhand,2015,53483.0,24240.0,4754.0,13602.0,5884.0,307.0,0.0
West Bengal,2015,88752.0,16828.0,2948.0,4172.0,9708.0,122.0,2106.0
Andaman and Nicobar Islands,2015,8249.0,6751.0,5686.0,685.0,380.0,1.0,617.0
Chandigarh,2015,114.0,22.03,1.36,14.09,6.58,0.03,0.0
Dadra & Nagar Haveli,2015,491.0,206.0,0.0,80.0,126.0,5.0,0.0
Daman & Diu,2015,112.0,119.61,1.4,5.82,112.39,0.55,3.0
Lakshadweep,2015,32.0,27.06,0.0,17.22,9.84,0.0,0.0
Puducherry,2015,480.0,55.38,0.0,29.68,25.7,0.0,2.0
India,2013,3287263.0,697898.0,83502.0,318745.0,295651.0,41383.0,4628.0
Andhra Pradesh,2013,275069.0,46116.0,850.0,26079.0,19187.0,10465.0,352.0
Arunachal Pradesh,2013,83743.0,67321.0,20828.0,31414.0,15079.0,121.0,0.0
Assam,2013,78438.0,27671.0,1444.0,11345.0,14882.0,182.0,0.0
Bihar,2013,94163.0,7291.0,247.0,3380.0,3664.0,115.0,0.0
Chattisgarh,2013,135191.0,55621.0,4153.0,34865.0,16603.0,117.0,0.0
Delhi,2013,1483.0,179.81,6.76,49.38,123.67,2.24,0.0
Goa,2013,3702.0,2219.0,543.0,585.0,1091.0,0.0,22.0
Gujarat,2013,196022.0,14653.0,376.0,5220.0,9057.0,1492.0,1103.0
Haryana,2013,44212.0,1586.0,27.0,453.0,1106.0,150.0,0.0
Himachal Pradesh,2013,55673.0,14683.0,3224.0,6381.0,5078.0,298.0,0.0
Jammu & Kashmir,2013,222236.0,22538.0,4140.0,8760.0,9638.0,2105.0,0.0
Jharkhand,2013,76714.0,23473.0,2587.0,9667.0,11219.0,670.0,0.0
Karnataka,2013,191791.0,36132.0,1777.0,20179.0,14176.0,3216.0,3.0
Kerala,2013,38863.0,17922.0,1529.0,9401.0,6992.0,29.0,6.0
Madhya Pradesh,2013,308245.0,77522.0,6632.0,34921.0,35969.0,6389.0,0.0
Maharashtra,2013,307713.0,50632.0,8720.0,20770.0,21142.0,4157.0,186.0
Manipur,2013,22327.0,16990.0,728.0,6094.0,10168.0,1.0,0.0
Meghalaya,2013,22429.0,17288.0,449.0,9689.0,7150.0,372.0,0.0
Mizoram,2013,21081.0,19054.0,138.0,5900.0,13016.0,0.0,0.0
Nagaland,2013,16579.0,13044.0,1298.0,4736.0,7010.0,2.0,0.0
Odisha,2013,155707.0,50347.0,7042.0,21298.0,22007.0,4424.0,213.0
Punjab,2013,50362.0,1772.0,0.0,736.0,1036.0,37.0,0.0
Rajasthan,2013,342239.0,16086.0,72.0,4424.0,11590.0,4211.0,0.0
Sikkim,2013,7096.0,3358.0,500.0,2161.0,697.0,311.0,0.0
Tamil Nadu,2013,130058.0,23844.0,2948.0,10199.0,10697.0,1212.0,39.0
Tripura,2013,10486.0,7866.0,109.0,4641.0,3116.0,66.0,0.0
Uttar Pradesh,2013,240928.0,14349.0,1623.0,4550.0,8176.0,806.0,0.0
Uttarakhand,2013,53483.0,24508.0,4785.0,14111.0,5612.0,262.0,0.0
