State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove,SO2,NO2,RSPM,SPM,PM25,Annual Rainfall
Meghalaya,1997,22429.0,15657.0,4044.0,0.0,11613.0,849.0,0.0,75.5,48.90000000000001,0.0,378.0,0.0,1779.15
Meghalaya,1999,22429.0,15633.0,5925.0,0.0,9708.0,261.0,0.0,11.1,39.2,0.0,420.0,0.0,1945.65
Meghalaya,2001,22429.0,15584.0,5681.0,0.0,9903.0,259.0,0.0,85.1,187.1,0.0,1819.0,0.0,1633.8000000000006
Meghalaya,2003,22429.0,16839.0,168.0,6323.0,10348.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.575
Meghalaya,2005,22429.0,16988.0,338.0,6808.0,9842.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,1851.225
Meghalaya,2007,22429.0,17321.0,410.0,9501.0,7410.0,211.0,0.0,207.6,852.1999999999997,8886.0,10851.0,0.0,2064.600000000001
Meghalaya,2009,22429.0,17321.0,410.0,9501.0,7410.0,0.0,0.0,6.0,856.8000000000003,10044.0,12970.0,0.0,1551.15
Meghalaya,2011,22429.0,17275.0,433.0,9775.0,7067.0,0.0,0.0,8266.0,4888.0,42663.0,0.0,0.0,1307.5500000000004
Meghalaya,2013,22429.0,17288.0,449.0,9689.0,7150.0,372.0,0.0,3442.0,6261.0,37611.0,0.0,0.0,1362.3000000000004
Meghalaya,2015,22429.0,17217.0,449.0,9584.0,7184.0,348.0,0.0,2673.0,5694.0,30594.0,0.0,0.0,1853.175
Meghalaya,2017,22429.0,17146.0,453.0,9386.0,7307.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.775
Meghalaya,2019,22429.0,17119.0,489.0,9267.0,7363.0,4256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1987,21081.0,19092.0,2938.0,0.0,16154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1989,21081.0,18178.0,3883.0,0.0,14295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1991,21081.0,18853.0,4279.0,0.0,14574.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1993,21081.0,18697.0,4238.0,0.0,14459.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1995,21081.0,18576.0,4281.0,0.0,14295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1997,21081.0,18775.0,4348.0,0.0,14427.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,1999,21081.0,18338.0,3786.0,0.0,14552.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2001,21081.0,17494.0,8936.0,0.0,8558.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2003,21081.0,18430.0,84.0,7404.0,10942.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2005,21081.0,18684.0,133.0,6173.0,12378.0,0.0,0.0,0.0,0.0,4652.0,15629.0,0.0,0.0
Mizoram,2007,21081.0,19240.0,134.0,6251.0,12855.0,1.0,0.0,10.6,1377.6000000000006,11629.0,25230.0,0.0,0.0
